hex_code,name,subtype,category,level,effect_family,delivery,application_time,duration,expiration,Dmg,Healing Max,effect,description,extraction_ingredient_id,calcination_ingredient_id,dissolution_ingredient_id,concentration_ingredient_id
FE E4 E6 0A,Regenerative Healing,Potion,Tonics,2,Bestow Skill,Ingested,Instant,10 minutes,1 hour,,,"Bestow one use of Heal Self kill see description, must be used within one hour",Ingested. Imbiber may Heal Self at a rate of 1 BP/ minute while they remain sitting or laying down. (Duration: 10 min) (EXP: 1 hour),24,,32,
5E 25 A8 1B,Repair Glue,Ointment,Liniments,1,Utility,Applied,1 minute,,,,,See Description,Applied. (1 min) This thick glue repairs a Shattered item.,30,,,
0D FF 58 A0,Resist Gas Ointment,Ointment,Liniments,1,Bestow Defensive,Applied,1 minute,,1 Hour,,,Bestow Resist lv 1 Gas Toxin,"Applied. (1 minute) Grants target a single Level 1 toxin shield - may only be used against Gas Toxin. (Call: ""Toxin Shield"") (EXP: 1 hour)",,23,,
0E 4C 28 FA,Resist Gas Potion,Potion,Tonics,2,Bestow Defensive,Ingested,Instant,,1 hour,,,Bestow Resist Gas lasts 1 hour,Ingested. Imbiber may resist the next Gas effect to affect them. (EXP: 1 hour),108,23,,
9B FB 97 DE,Restorative Ointment,Ointment,Liniments,1,Curing,Applied,30 seconds,,,,,Cure Maim,"Applied. (30 sec) Cures target's maimed limb. (Call: ""Cure Maim"")",,24,,
1D E7 8C 30,Restore Flesh Gas,Gas,Gasses,2,Damage,Packet,Instant,,,1,,Harm Undead Gas Toxin,"Thrown. Eats away at undead flesh dealing 1 point of damage. (Call: ""Harm Undead Gas Toxin"")",66,,,32
24 D2 C9 1B,Resurgence Potion,Potion,Tonics,2,Curing,Ingested,Instant,30 minutes,,,,Cure exhaustion for Krosan,Ingested. Only affects Krosan. Cures exhaustion. Imbiber cannot enter an Adrenaline Surge for 30 minutes after imbibing.,36,,95,
00 DD A7 32,Salve of Magical Protection,Salve,Liniments,2,Bestow Defensive,Applied,30 seconds,,End of Current Reset,,,Bestow Magic Shield,"Applied. (30 sec) Grants target 1 magic shield. The recipient may choose when to activate the shield. (EXP: end current reset) (Call: ""Magic Shield"")",,64,,90
17 B8 0B 50,Shatter Grease,Grease,Coatings,2,Bestow Skill,Applied,30 seconds,,1 hour,,,Bestow Shatter Toxin next strike,"Applied. (30 sec) highly corrosive gel causes target weapon to deal the Shatter effect on its next strike. (Call: ""Shatter Toxin"") (EXP: 1 hour)",,83,75,
FB FF 46 AA,Silence Gas,Gas,Gasses,2,Status Effect,Packet,Instant,Standard,,,,Silence Gas Toxin lv 2 1 minute,"Thrown. Renders the target unable to speak. (Duration: 1 min) (Call: ""Silence Gas Toxin"")",23,104,,
13 97 CE E6,Sleep Extension Gas,Gas,Gasses,2,Status Effect,Gas,Instant,1 minute,,,,Extend Sleep 1 minute,"Thrown. Gas deepends the slumber of an already sleeping target. (Call: ""Sleep Gas Toxin 1 minute - no effect if you're not already asleep""",1,66,,
1C D6 D7 49,Sleep Gas,Gas,Gasses,2,Status Effect,Packet,Instant,Standard,,,,Sleep Gas Toxin lv 1 1 minute,"Thrown. Causes the target to be affected by the Sleep effect (Duration: 1 min). (Call: ""Sleep Gas Toxin"")",23,1,,
B5 75 8C FA,Sleep Gas (alternate),Gas,Gasses,2,Status Effect,Packet,Instant,Standard,,,,Sleep Gas Toxin lv 1 1 minute,"Thrown. Causes the target to be affected by the Sleep effect (Duration: 1 min). (Call: ""Sleep Gas Toxin"")",23,,33,
7D C7 0B 64,Sleeping Tincture,Tincture,Tonics,1,Status Effect,Ingested,Instant,10 minutes,,,,Sleep lv 1 ten minutes,Ingested. Instantly causes the imbiber to be affected by a Lv 1 Sleep Toxin effect. (Duration: 10 min),1,,,
5F C9 EE A7,Slowing Ointment,Ointment,Liniments,1,Status Effect,Applied,1 minute,Standard,,,,Slow toxin lv 1 1 minute,Applied. (1 min) Causes the Slow effect (Duration: 1 min). (Call: Slow Toxin),,72,,
7D 53 39 D2,Smelling Salts,Powder,Particulates,1,Curing,Applied,10 seconds,,,,,Cure lv 1Sleep,"Applied. (10 sec) Revives a sleeping or unconscious target, removing the Lv 1 Sleep effect. (Call: ""Cure Lv 1 Sleep"")",86,,,
CE 40 C1 1C,Snake Venom,Vial,Vial,2,Component,None,None,,,,,Component,Identifies base usage of Grade 1 & 2 components,100,,100,
5F E7 51 0E,Spirit Anointing Salve,Salve,Liniments,2,Advantage,Applied,30 seconds,,End of Current Reset,,,Bestow Minor Death Boon,Applied. (30 sec) Prepares the spirit for Death - Bestow (minor death boon),56,,,29
4B 73 D7 D2,Strong Poison,Elixir,Tonics,3,Damage,Ingested,Instant,,,5,,5 Body Toxin lv 3,Ingested. Instantly deals five points of damage  (5 Body Toxin Lv 3),11,84,101,
B6 6C C4 14,Stunning Gas,Gas,Gasses,2,Status Effect,Packet,Instant,Standard,,,,Stun Gas Toxin lv 2,Thrown. Causes target to take the Stun effect. (Duration: 1 min)  (Call: Stun Gas Toxin),23,,11,
01 1E 07 F0,Terrible Smelling Bad Formula,Grease,Coatings,2,Utility,Applied,Instant,1 hour,,,,None,When this combination is attempted it immediately explodes covering the 5' area around it in sticky goo (Made as example of useless IG combination),30,,103,
1C F1 D7 32,Tincture of The Impossible,Tincture,Tonics,1,RP,Ingested,Instant,Standard,,,,RP Hallucinations 1 minute,Ingested. Imbiiber immediately takes RP effect 'Hallucinations'.  (Toxin) (Duration 1 min),,50,,
01 CB 3D 6E,Tincture of Vulnerability,Tincture,Tonics,1,RP,Ingested,Instant,Standard,,,,RP emotional instability toxin lv1 1 minute,Ingested. Imbiber immediately takes RP effect 'Emotional Instability'. (Toxin) (Duration 1 min),50,,,
3D C6 25 82,Toxin Protection Dust,Dust,Particulates,2,Bestow Defensive,Applied,10 seconds,,10 minutes,,,Bestow lv 1 Toxin Shield,"Applied. (10 sec) Grants target a single Level 1 toxin shield. (Call: ""Toxin Shield"") (EXP: 10 min)",111,68,,
46 B5 B3 B6,Tranquil Mind Potion,Potion,Tonics,2,Curing,Ingested,Instant,,,,,Tranquil Mind Toxin lv1,"Ingested. Imbiber immediately takes the Tranquil Mind effect. (remove Berserk, any RP effects, induces RP calm)",50,102,,
01 0A A8 BE,Tranquil Mind Tincture,Tincture,Tonics,1,Curing,Ingested,Instant,,,,,Tranquil Mind Toxin lv1,"Ingested. Imbiber immediately takes the Tranquil Mind effect. (remove Berserk, any RP effects, induces RP calm).",10,,,
8C A4 EE FA,Wayfinding Tincture,Tincture,Tonics,1,Bestow Skill,Ingested,Instant,,10 minutes,,,See Description,"Imbiber gains one use of the Troubleshooting skill.(You do not need to have the skill, or spend AP) (EXP: 10 min)",,,,79
5E 73 4A 13,Weakeness Gas,Gas,Gasses,3,Status Effect,Packet,Instant,5 Minutes,,,,Weakness Gas Toxin lv 2 5 minutes,"Thrown. Causes target to take the Weakness effect (Duration: 5 minutes). (Call: ""Weakness Gas Toxin Lv 2, 5 minutes"")",23,63,84,
C7 63 7F B4,"Weakeness Gas, Improved",Gas,Gasses,3,Status Effect,Packet,Instant,5 Minutes,,,,Weakness Gas Toxin lv 3 5minutes,"Thrown. Saps target's strength, causing the Weakness effect. (Duration: 5 min) (Call: ""Weakness Gas Toxin, Lv 3, 5 minutes"")",23,63,75,
FE C1 BF 50,Weakening Oil,Oil,Coatings,1,Disadvantage,Applied,1 minute,,10 minutes,,,Bestow Malady next strike on this item is a shatter,Applied. (1 min) Target metal object receives the next strike as the Shatter effect. (EXP: 10 min),,,83,
85 25 8C 6E,Wither Limb Grease,Grease,Coatings,2,Status Effect,Applied,15 seconds,Standard,End of Current Reset,,,Bestow Maim toxin lv2 on next strike,"Applied. (15 sec) Target weapon deals the Maim effect on its next strike. (Call: ""Maim Toxin"") (EXP: end current reset)",77,,75,
